测试项目TestItems,控制通道ControlChl,控制值ControlValue,电流通道CurrChl,电流倍率CurrMultiplier,霍尔通道HallChl,板卡通道,板卡控制值,输入信号点位
高度向上-电流&HeightUp-Cur,,,0,0.2,12,,,
高度向下-电流&HeightDown-Cur,,,0,0.2,12,,,
水平向前-电流&TrackForward-Cur,59,1,0,0.2,12,,,
水平向后-电流&TrackRearward-Cur,,,0,0.2,12,,,
靠背向前-电流&ReclineForward-Cur,,,0,0.2,12,,,
靠背向后-电流&ReclineRearward-Cur,,,0,0.2,12,,,
坐盆向上-电流&TiltUp_Cur,,,0,0.2,12,,,
坐盆向下-电流&TiltDown_Cur,,,0,0.2,12,,,
腿托向上-电流&LegRestUp-Cur,,,0,0.2,12,,,
腿托向下-电流&LegRestDown-Cur,,,0,0.2,12,,,
腿托伸长-电流&LegRestEx-Cur,,,0,0.2,12,,,
腿托缩回-电流&LegRestRe-Cur,,,0,0.2,12,,,
ECU通风-电流&ECUBlower-Cur,,,0,0.2,12,,,
风扇一档-电流&BlowerFst-Cur,,,2,2,12,,,
风扇二档-电流&BlowerSnd-Cur,,,2,2,12,,,
风扇三档-电流&BlowerTrd-Cur,,,2,2,12,,,
ECU加热-电流&ECUHeater-Cur,,,0,0.2,12,,,
加热-电流&Heater-Cur,,,,,,,,
氛围灯-电流&AmbientLight-Cur,,,1,100,12,,,
脚灯-电流&FootLight-Cur,,,2,100,12,,,
按摩-电流&Message-Cur,,,,,12,,,
无线-电流&Wireless-Cur,,,3,2,11,,,
USB-电流&USB-Cur,,,4,2,11,,,
左声音-电流&LSsound-Cur,56,1,,,32,,,
右声音-电流&RSsoundS-Cur,57,1,,,32,,,
霍尔上电&HallPower,,,,,,,,
卷缩器-电阻,58,1,,,,,,
SBR无加载-电阻&SBRNoLoad-Res,47,1,,,,,,
SBR轻加载-电阻&SBRLoad1-Res,47,1,,,,,,
SBR重加载-电阻&SBRLoad2-Res,47,1,,,,,,
SBR释放-电阻&SBRRelease-Res,47,1,,,,,,
安全锁扣未插入-电阻&BuckleNotInsert-Res,46,1,,,,,,
安全锁扣插入-电阻&BuckleInsert-Res,46,1,,,,13;14,,
安全锁扣释放-电阻&BuckleRelease-Res,46,1,,,,13;15,,
PLP-电阻&NTC-Res,48,1,,,,,,
侧安全气囊-电阻&SideAirbag-Res,49,1,,,,,,
侧安全对地-电阻&SafeGround-Res,,1,,,,,,
远端气囊-电阻&FSAB-Res,51,1,,,,,,
远端对地-电阻&FSafeGround-Res,,1,,,,,,
安全带预紧-电阻&PLP-Res,,1,,,,,,
左音响-电阻&Lsound-Res,59,1,,,,,,
右音响-电阻&Rsound-Res,55,1,,,,,,
发运位置-抬高&Delivery-Height,,,,,,,,
发运位置-滑轨&Delivery-Track,,,,,,,,
发运位置-靠背&Delivery-Recline,,,,,,,,
绿灯,,,,,,,,
红灯,,,,,,,,
黄灯,,,,,,,,
蜂鸣器,,,,,,,,
解锁打开,40,1,,,,,,
解锁缩回,40,0,,,,,,
垂直气缸伸出,41;42,1;0,,,,,,
垂直气缸缩回,41;42,0;1,,,,,,
平移气缸伸出,,1;0,,,,,,
平移气缸缩回,,0;1,,,,,,
加载气缸伸出,43,1,,,,,,
加载气缸缩回,43,0,,,,,,
锁止气缸伸出,44;45,1;0,,,,,,
锁止气缸缩回,,0;1,,,,,,
双手信号,,,,,,,,
手柄插入信号,,,,,,,,
急停信号,,,,,,,,
启动信号,,,,,,,,
复位信号,,,,,,,,
